# artifact_type: raw_data
# circuit_file: 01_rlc_bandpass.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\01_rlc_bandpass.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:23:55.037150

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(n2)_mag,V(n2)_phase,V(n2)_real,V(n2)_imag,I(L1)_mag,I(L1)_phase,I(L1)_real,I(L1)_imag
100.0,0.9999802457818678,-0.36013743552029553,0.9999604919539652,-0.006285418454550886,1.0,0.0,1.0,0.0,0.000628554262053089,-90.36013743552327,-3.950804603483626e-06,-0.0006285418454550886,1.0003751780722776,-0.36013743552029626,1.0003554164427964,-0.006287900818294494,0.000628554262053089,89.63986256447674,3.950804603483626e-06,0.0006285418454550886
105.92537251772889,0.9999778333465441,-0.38149469083063847,0.9999556671844485,-0.0066581416441161,1.0,0.0,1.0,0.0,0.0006658289236106205,-90.38149469082957,-4.433281555152324e-06,-0.00066581416441161,1.0004209749505455,-0.38149469083063803,1.0003987989654837,-0.0066610922090880875,0.0006658289236106205,89.61850530917044,4.433281555152324e-06,0.00066581416441161
112.20184543019634,0.9999751260168255,-0.4041207949057803,0.999950252652366,-0.007053004525394329,1.0,0.0,1.0,0.0,0.0007053179966074131,-90.40412079490666,-4.974734763393829e-06,-0.0007053004525394329,1.0004723646152447,-0.4041207949057809,1.0004474788824806,-0.007056511638715068,0.0007053179966074131,89.59587920509334,4.974734763393829e-06,0.0007053004525394329
118.85022274370185,0.9999720876720551,-0.42809156426134504,0.9999441761232082,-0.007471329231580198,1.0,0.0,1.0,0.0,0.0007471537779592955,-90.42809156426102,-5.582387679184397e-06,-0.0007471329231580198,1.0005300307130263,-0.4280915642613445,1.00050210359069,-0.0074754979240896635,0.0007471537779592955,89.57190843573898,5.582387679184397e-06,0.0007471329231580198
125.89254117941672,0.9999686777483663,-0.4534874272760173,0.9999373564778161,-0.007914518176936232,1.0,0.0,1.0,0.0,0.0007914766085231175,-90.45348742727549,-6.264352218385283e-06,-0.0007914518176936232,1.0005947406251787,-0.4534874272760168,1.0005633997449297,-0.007919473318160841,0.0007914766085231175,89.54651257272452,6.264352218385283e-06,0.0007914518176936232
133.3521432163324,0.9999648506872307,-0.48039372005359243,0.9999297026099361,-0.008384059180421843,1.0,0.0,1.0,0.0,0.0008384353884698904,-90.4803937200538,-7.029739006389479e-06,-0.0008384059180421843,1.0006673557670531,-0.4803937200535932,1.0006321829971876,-0.008389949231616886,0.0008384353884698904,89.51960627994622,7.029739006389479e-06,0.0008384059180421843
141.25375446227542,0.9999605553142971,-0.5089010040996069,0.9999211121844771,-0.008881530962378658,1.0,0.0,1.0,0.0,0.00088818813053952,-90.5089010040983,-7.888781552292667e-06,-0.0008881530962378658,1.0007488431655585,-0.5089010040996059,1.000709368941972,-0.008888532441508029,0.00088818813053952,89.49109899590171,7.888781552292667e-06,0.0008881530962378658
149.62356560944335,0.9999557341393833,-0.539105407921056,0.9999114702382331,-0.00940860904958667,1.0,0.0,1.0,0.0,0.0009409025548200127,-90.53910540792207,-8.85297617668479e-06,-0.000940860904958667,1.0008402884762344,-0.5391054079210564,1.0007959854195252,-0.009416931843940879,0.0009409025548200127,89.46089459207795,8.85297617668479e-06,0.000940860904958667
158.48931924611136,0.9999503225672183,-0.5711089949392041,0.9999006476022839,-0.009967072128626037,1.0,0.0,1.0,0.0,0.0009967567291780171,-90.57110899493871,-9.935239771607929e-06,-0.0009967072128626037,1.000942910622559,-0.571108994939202,1.000893186348398,-0.009976965816860625,0.0009967567291780171,89.42889100506129,9.935239771607929e-06,0.0009967072128626037
167.88040181225605,0.9999442480070166,-0.6050201604341006,0.9998884991223181,-0.010558808892861832,1.0,0.0,1.0,0.0,0.0010559397600322755,-90.6050201604348,-1.1150087768183048e-05,-0.0010558808892861832,1.0010580782642484,-0.6050201604341018,1.0010022672812933,-0.010570570269407234,0.0010559397600322755,89.39497983956521,1.1150087768183048e-05,0.0010558808892861832
