# artifact_type: raw_data
# circuit_file: 02_complementary_push_pull.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\bjt\02_complementary_push_pull.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:10.334747

Time (s),V(out),V(in),I(VIN),V(vdd),V(vss),I(VDD),I(VSS)
0.0,-1.550972661272769e-23,0.0,2.390067294138082e-22,12.0,-12.0,-2.4016344468691386e-11,1.2008172234345693e-11
1e-07,3.325827231076296e-05,0.0018849554681287716,-3.9535296711929e-07,12.0,-12.0,2.9521658007070073e-08,3.3236560170735174e-08
2e-07,3.391169864636759e-05,0.0037699101921069766,-4.020175434737408e-07,12.0,-12.0,2.9578600901913887e-08,3.330994502448448e-08
4e-07,3.3928508146171026e-05,0.00753981443101118,-4.0218935830620313e-07,12.0,-12.0,2.9584654726022563e-08,3.330760023345647e-08
8e-07,3.389583467693787e-05,0.015079581236456587,-4.0185727091975043e-07,12.0,-12.0,2.9587070571324148e-08,3.329984110678197e-08
1.6e-06,3.3899643767916323e-05,0.030158781470191957,-4.018958216910496e-07,12.0,-12.0,2.9600641937577166e-08,3.328668185531569e-08
3.2e-06,3.385691072048105e-05,0.06031451497637273,-4.0145290046466123e-07,12.0,-12.0,2.9616572305712907e-08,3.325517639041209e-08
6.4e-06,3.389414947307645e-05,0.1206046480888596,-4.017879030307134e-07,12.0,-12.0,2.9648390409420244e-08,3.318589847367548e-08
1.28e-05,3.416673016796994e-05,0.24101430040018268,-4.0423656197038915e-07,12.0,-12.0,2.95488860047044e-08,3.300813489204302e-08
2.28e-05,5.290581055511841e-05,0.42830139344234675,-4.18383692510349e-07,12.0,-12.0,-1.433165550679405e-07,3.2629742463541334e-08
3.28e-05,0.013489887574556526,0.6138981765568879,-7.955245209349815e-07,12.0,-12.0,-0.00013413547745244614,3.21136042202852e-08
4.28e-05,0.1363606078330394,0.7970721840319577,-4.148327252026518e-06,12.0,-12.0,-0.0013594892598547403,3.149595784179837e-08
5.2799999999999996e-05,0.29604229054398407,0.9771005117442961,-9.173764519601613e-06,12.0,-12.0,-0.002951279898312009,3.0744388368475484e-08
6.28e-05,0.4603715063141542,1.1532726701315419,-1.3971936857787304e-05,12.0,-12.0,-0.004589773044415324,2.99049531804485e-08
7.28e-05,0.6235369407492379,1.3248933881699438,-1.9214561127856022e-05,12.0,-12.0,-0.006216183793611663,2.8933882845194603e-08
8.28e-05,0.7837575868350557,1.4912853572914524,-2.3986485854235462e-05,12.0,-12.0,-0.007813617285421515,2.7889441867046116e-08
9.279999999999999e-05,0.9392758040266933,1.6517919044112044,-2.911095259361396e-05,12.0,-12.0,-0.009363673818114648,2.6716776346802362e-08
0.00010279999999999999,1.0890850998632202,1.805779583516185,-3.364732377468538e-05,12.0,-12.0,-0.010857229174803251,2.54861447501753e-08
0.00011279999999999999,1.2323993723777649,1.9526406755872454,-3.846670681090236e-05,12.0,-12.0,-0.012285551162577235,2.4131651343850535e-08
0.0001228,1.368514352097502,2.0917955869884324,-4.264353072155891e-05,12.0,-12.0,-0.013642522739516494,2.273516486184235e-08
0.0001328,1.4967799402304292,2.2226951368582766,-4.704866072959002e-05,12.0,-12.0,-0.014920771975610592,2.1219790369286784e-08
0.0001428,1.6166221702353878,2.3448227244757573,-5.075958962878768e-05,12.0,-12.0,-0.01611548180616751,1.9679077922774013e-08
0.0001528,1.727504079215808,2.457696368047337,-5.4650080479987095e-05,12.0,-12.0,-0.017220408751143168,1.802499127734336e-08
0.0001628,1.8289532364471086,2.5608706068689,-5.780107367503451e-05,12.0,-12.0,-0.018231747667982745,1.6362591281904315e-08
0.0001728,1.9205280811248546,2.6539382593556446,-6.108919335731655e-05,12.0,-12.0,-0.01914420622540547,1.4592828279091918e-08
0.0001828,2.001849307257607,2.7365320300017713,-6.359913415221463e-05,12.0,-12.0,-0.01995490678532974,1.2832174434151966e-08
0.0001928,2.0725673619068776,2.8083259589280445,-6.621084135782773e-05,12.0,-12.0,-0.020659473763004144,1.0970481412186928e-08
