# artifact_type: raw_data
# circuit_file: 02_rlc_underdamped.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\02_rlc_underdamped.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:21.728481

Time (s),V(in),I(VIN),V(n1),V(n2),I(L1)
0.0,0.0,0.0,0.0,0.0,0.0
2e-08,0.0,0.0,0.0,0.0,0.0
4e-08,0.0,0.0,0.0,0.0,0.0
8e-08,0.0,0.0,0.0,0.0,0.0
1.6e-07,0.0,0.0,0.0,0.0,0.0
3.2e-07,0.0,0.0,0.0,0.0,0.0
6.4e-07,0.0,0.0,0.0,0.0,0.0
1.28e-06,0.0,0.0,0.0,0.0,0.0
2.56e-06,0.0,0.0,0.0,0.0,0.0
4.56e-06,0.0,0.0,0.0,0.0,0.0
6.56e-06,0.0,0.0,0.0,0.0,0.0
8.56e-06,0.0,0.0,0.0,0.0,0.0
1.0559999999999999e-05,0.0,0.0,0.0,0.0,0.0
1.2559999999999998e-05,0.0,0.0,0.0,0.0,0.0
1.4559999999999998e-05,0.0,0.0,0.0,0.0,0.0
1.6559999999999997e-05,0.0,0.0,0.0,0.0,0.0
1.856e-05,0.0,0.0,0.0,0.0,0.0
2.056e-05,0.0,0.0,0.0,0.0,0.0
2.256e-05,0.0,0.0,0.0,0.0,0.0
2.4560000000000002e-05,0.0,0.0,0.0,0.0,0.0
2.6560000000000003e-05,0.0,0.0,0.0,0.0,0.0
2.8560000000000004e-05,0.0,0.0,0.0,0.0,0.0
3.0560000000000006e-05,0.0,0.0,0.0,0.0,0.0
3.256000000000001e-05,0.0,0.0,0.0,0.0,0.0
3.456000000000001e-05,0.0,0.0,0.0,0.0,0.0
3.656000000000001e-05,0.0,0.0,0.0,0.0,0.0
3.856000000000001e-05,0.0,0.0,0.0,0.0,0.0
4.056000000000001e-05,0.0,0.0,0.0,0.0,0.0
4.256000000000001e-05,0.0,0.0,0.0,0.0,0.0
4.4560000000000014e-05,0.0,0.0,0.0,0.0,0.0
4.6560000000000015e-05,0.0,0.0,0.0,0.0,0.0
4.8560000000000016e-05,0.0,0.0,0.0,0.0,0.0
5.056000000000002e-05,0.0,0.0,0.0,0.0,0.0
5.256000000000002e-05,0.0,0.0,0.0,0.0,0.0
5.456000000000002e-05,0.0,0.0,0.0,0.0,0.0
5.656000000000002e-05,0.0,0.0,0.0,0.0,0.0
5.856000000000002e-05,0.0,0.0,0.0,0.0,0.0
6.056000000000002e-05,0.0,0.0,0.0,0.0,0.0
6.256000000000002e-05,0.0,0.0,0.0,0.0,0.0
6.456000000000002e-05,0.0,0.0,0.0,0.0,0.0
6.656000000000001e-05,0.0,0.0,0.0,0.0,0.0
6.856000000000001e-05,0.0,0.0,0.0,0.0,0.0
7.056e-05,0.0,0.0,0.0,0.0,0.0
7.256e-05,0.0,0.0,0.0,0.0,0.0
7.455999999999999e-05,0.0,0.0,0.0,0.0,0.0
7.655999999999999e-05,0.0,0.0,0.0,0.0,0.0
7.855999999999998e-05,0.0,0.0,0.0,0.0,0.0
8.055999999999997e-05,0.0,0.0,0.0,0.0,0.0
8.255999999999997e-05,0.0,0.0,0.0,0.0,0.0
8.455999999999996e-05,0.0,0.0,0.0,0.0,0.0
8.655999999999996e-05,0.0,0.0,0.0,0.0,0.0
8.855999999999995e-05,0.0,0.0,0.0,0.0,0.0
9.055999999999995e-05,0.0,0.0,0.0,0.0,0.0
9.255999999999994e-05,0.0,0.0,0.0,0.0,0.0
9.455999999999993e-05,0.0,0.0,0.0,0.0,0.0
9.655999999999993e-05,0.0,0.0,0.0,0.0,0.0
9.855999999999992e-05,0.0,0.0,0.0,0.0,0.0
9.999999999999999e-05,0.0,0.0,0.0,0.0,0.0
0.00010002156000004316,0.10780000021584353,-2.3236659468083704e-06,0.10777676355637544,5.009823791351424e-08,2.3236659468095723e-06
0.00010006468000012948,0.3234000006474628,-1.161732366618956e-05,0.323283827410801,3.5066597457158324e-07,1.1617323666191968e-05
0.00010013627366248377,0.6813683124188691,-4.756355951969493e-05,0.680892676823672,2.4691540588913137e-06,4.7563559519704736e-05
0.00010020218159017373,1.0109079508686698,-0.00010328073459339726,1.0098751435227358,7.440071473315501e-06,0.00010328073459339218
0.00010031434854230917,1.5717427115458724,-0.00024792585314761806,1.5692634530143963,2.7136957731714596e-05,0.00024792585314762614
0.00010046494616822709,2.324730841135508,-0.0005407232846192933,2.319323608289315,8.652130164667649e-05,0.0005407232846193561
0.00010070741049977069,3.5370524988534804,-0.0012491427963794433,3.524561070889686,0.00030351064308764986,0.001249142796379486
0.00010099999999999999,4.999999999999987,-0.0024924261578009865,4.975075738421976,0.0008508825382762213,0.00249242615780102
0.00010103469889466791,5.0,-0.00266496318503745,4.973350368149625,0.0009433538151277265,0.0026649631850374504
0.00010110409668400375,5.0,-0.0030099107139069936,4.96990089286093,0.0011402656668009416,0.003009910713907009
0.00010124289226267544,5.0,-0.0036990421677711716,4.963009578322288,0.0016058521655477516,0.003699042167771165
0.00010152048342001882,5.0,-0.005074206293432748,4.949257937065672,0.0028235402625510645,0.005074206293432803
0.00010207566573470558,5.0,-0.00781178695539636,4.921882130446036,0.006400578042012508,0.007811786955396337
0.00010318603036407909,5.0,-0.01323317856503814,4.867668214349618,0.01808437071215035,0.013233178565038205
0.00010518603036407908,5.0,-0.022800637843124028,4.771993621568759,0.05411818712031266,0.022800637843124118
0.00010718603036407908,5.0,-0.03208861963660642,4.6791138036339355,0.10900744460004323,0.03208861963660646
0.00010918603036407907,5.0,-0.04106590497666046,4.589340950233395,0.18216196921331013,0.041065904976660454
0.00011118603036407906,5.0,-0.04970312174430319,4.502968782556968,0.27293099593427383,0.04970312174430325
0.00011318603036407906,5.0,-0.05797282434544743,4.420271756545525,0.38060694202402445,0.05797282434544744
0.00011518603036407905,5.0,-0.06584956418753651,4.341504358124634,0.5044293305570083,0.06584956418753656
0.00011718603036407905,5.0,-0.07330995086088982,4.266900491391102,0.6435888456054347,0.07330995086088984
0.00011918603036407904,5.0,-0.08033270396657688,4.196672960334231,0.7972315004329015,0.08033270396657684
0.00012118603036407904,5.0,-0.08689869557079982,4.1310130442920014,0.9644628999702781,0.08689869557079986
0.00012318603036407904,5.0,-0.09299098330324485,4.070090166967551,1.144352578844323,0.09299098330324483
0.00012518603036407904,5.0,-0.0985948341535316,4.014051658464684,1.3359383963010996,0.09859483415353165
0.00012718603036407903,5.0,-0.10369773905562868,3.963022609443713,1.5382309695102594,0.10369773905562871
0.00012918603036407903,5.0,-0.10828941838476386,3.917105816152361,1.7502181269506516,0.10828941838476389
0.00013118603036407902,5.0,-0.11236181852485672,3.8763818147514324,1.9708693638602717,0.11236181852485677
0.00013318603036407902,5.0,-0.1159090996966991,3.840909003033009,2.1991402820818275,0.11590909969669912
0.000135186030364079,5.0,-0.11892761526792456,3.8107238473207543,2.433976997046451,0.1189276152679246
0.000137186030364079,5.0,-0.12141588279513799,3.78584117204862,2.674320495109514,0.12141588279513803
0.000139186030364079,5.0,-0.12337454707633277,3.766254529236672,2.919110924980985,0.12337454707633283
0.000141186030364079,5.0,-0.12480633551783504,3.751936644821649,3.1672918075751526,0.12480633551783506
0.000143186030364079,5.0,-0.12571600614440015,3.7428399385559983,3.4178141492373877,0.12571600614440018
0.00014518603036407898,5.0,-0.12611028860369622,3.7388971139630374,3.6696404439854833,0.12611028860369627
0.00014718603036407898,5.0,-0.12599781853717573,3.7400218146282427,3.921748551126355,0.1259978185371757
0.00014918603036407897,5.0,-0.12538906570822356,3.746109342917764,4.173135435371754,0.1253890657082236
0.00015118603036407897,5.0,-0.12429625629543978,3.757037437045602,4.422820757375417,0.12429625629543979
0.00015318603036407896,5.0,-0.12273328977392595,3.7726671022607405,4.6698503034447825,0.12273328977392592
0.00015518603036407896,5.0,-0.12071565082049762,3.7928434917950233,4.913299244039204,0.12071565082049768
0.00015718603036407895,5.0,-0.11826031668980591,3.817396833101941,5.152275211549507,0.11826031668980594
0.00015918603036407894,5.0,-0.11538566051742732,3.8461433948257264,5.385921188756741,0.11538566051742735
0.00016118603036407894,5.0,-0.11211135101307829,3.878886489869217,5.613418200287247,0.1121113510130783
0.00016318603036407893,5.0,-0.10845824901222545,3.915417509877745,5.833987800312549,0.10845824901222546
0.00016518603036407893,5.0,-0.10444830135753302,3.9555169864246698,6.046894350682306,0.10444830135753302
0.00016718603036407892,5.0,-0.10010443258282442,3.9989556741717553,6.251447084622663,0.10010443258282448
0.00016918603036407892,5.0,-0.09545043487158061,4.0454956512841935,6.447001952077069,0.09545043487158068
0.0001711860303640789,5.0,-0.09051085675948484,4.094891432405151,6.632963243708135,0.09051085675948484
0.0001731860303640789,5.0,-0.08531089104620598,4.14689108953794,6.808784991513825,0.08531089104620598
0.0001751860303640789,5.0,-0.07987626237553913,4.201237376244609,6.973972144935569,0.07987626237553913
0.0001771860303640789,5.0,-0.07423311493524931,4.257668850647507,7.128081522246355,0.07423311493524931
0.0001791860303640789,5.0,-0.06840790071856462,4.315920992814354,7.270722537900169,0.06840790071856465
0.00018118603036407888,5.0,-0.062427268778298795,4.375727312217012,7.401557707397032,0.062427268778298815
0.00018318603036407888,5.0,-0.05631795589213001,4.4368204410787,7.520302932067461,0.056317955892130046
0.00018518603036407887,5.0,-0.050106679043700975,4.49893320956299,7.6267275670032895,0.05010667904370099
0.00018718603036407887,5.0,-0.043820030109014474,4.561799698909855,7.720654276156003,0.04382003010901453
0.00018918603036407886,5.0,-0.03748437312117048,4.625156268788295,7.8019586793861855,0.03748437312117049
0.00019118603036407885,5.0,-0.031125744468907257,4.688742555310927,7.870568796976262,0.031125744468907274
0.00019318603036407885,5.0,-0.02476975636577322,4.7523024363422675,7.926464297810943,0.02476975636577327
0.00019518603036407884,5.0,-0.018441503907149215,4.815584960928508,7.969675558083864,0.018441503907149236
0.00019718603036407884,5.0,-0.01216547601187229,4.878345239881277,8.000282538002885,0.012165476011872265
0.00019918603036407883,5.0,-0.005965470523972172,4.940345294760278,8.018413484538728,0.005965470523972206
0.00020118603036407883,5.0,0.00013548627187831563,5.001354862718783,8.02424346879082,-0.00013548627187827834
0.00020318603036407882,5.0,0.0061152154900784295,5.061152154900784,8.017992767028861,-0.006115215490078391
0.00020518603036407882,5.0,0.011952456630806352,5.119524566308064,7.999925094907976,-0.011952456630806383
0.0002071860303640788,5.0,0.017626933528866018,5.1762693352886595,7.970345704748303,-0.01762693352886594
0.0002091860303640788,5.0,0.023119415103407537,5.231194151034075,7.929599356116026,-0.023119415103407537
0.0002111860303640788,5.0,0.02841177077102086,5.284117707710209,7.878068170241596,-0.028411770771020875
0.0002131860303640788,5.0,0.03348702040852902,5.3348702040852904,7.816169379062044,-0.03348702040852902
0.0002151860303640788,5.0,0.038329378775627365,5.383293787756274,7.744352979877886,-0.0383293787756274
0.00021718603036407878,5.0,0.042924294331207924,5.4292429433120795,7.663099306771049,-0.04292429433120798
0.00021918603036407878,5.0,0.047258482400699076,5.472584824006991,7.572916530039143,-0.04725848240069909
0.00022118603036407877,5.0,0.05131995267494538,5.513199526749453,7.474338094963496,-0.05131995267494529
0.00022318603036407877,5.0,0.05509803104396427,5.550980310439643,7.367920111244585,-0.055098031043964275
0.00022518603036407876,5.0,0.058583375791265935,5.585833757912659,7.254238704409352,-0.058583375791265914
0.00022718603036407875,5.0,0.0617679881962222,5.617679881962222,7.133887340421864,-0.06176798819622226
0.00022918603036407875,5.0,0.06464521761316278,5.6464521761316275,7.00747413461248,-0.06464521761316276
0.00023118603036407874,5.0,0.0672097611163629,5.672097611163629,6.875619155882954,-0.06720976111636294
0.00023318603036407874,5.0,0.06945765781983082,5.6945765781983075,6.738951736946761,-0.06945765781983072
0.00023518603036407873,5.0,0.07138627799970931,5.713862779997093,6.59810780112722,-0.07138627799970929
0.00023718603036407873,5.0,0.07299430716515032,5.729943071651503,6.453727215962361,-0.07299430716515025
0.00023918603036407872,5.0,0.0742817252406116,5.742817252406116,6.306451183556598,-0.07428172524061159
0.00024118603036407871,5.0,0.07524978103865299,5.752497810386529,6.156919677277334,-0.0752497810386529
0.0002431860303640787,5.0,0.07590096221739107,5.75900962217391,6.005768934021289,-0.07590096221739108
0.0002451860303640787,5.0,0.07623896093080351,5.762389609308035,5.853629010873093,-0.07623896093080351
0.0002471860303640787,5.0,0.076268635392988,5.76268635392988,5.701121414549301,-0.076268635392988
0.0002491860303640787,5.0,0.07599596758928173,5.759959675892817,5.548856811567032,-0.07599596758928165
0.0002511860303640787,5.0,0.07542801737777804,5.75428017377778,5.397432826599971,-0.07542801737777806
0.0002531860303640787,5.0,0.07457287323424577,5.7457287323424575,5.247431935987947,-0.07457287323424573
0.0002551860303640787,5.0,0.073439599901726,5.734395999017259,5.0994194628519764,-0.07343959990172594
0.00025718603036407867,5.0,0.07203818321316613,5.720381832131661,4.953941679737085,-0.0720381832131661
0.00025918603036407866,5.0,0.07037947236132103,5.70379472361321,4.811524024162598,-0.07037947236132093
0.00026118603036407866,5.0,0.06847511989482846,5.684751198948285,4.672669431906448,-0.06847511989482846
0.00026318603036407865,5.0,0.06633751972284696,5.663375197228469,4.537856792288773,-0.06633751972284692
0.00026518603036407865,5.0,0.06397974341293089,5.639797434129309,4.407539529152994,-0.06397974341293092
0.00026718603036407864,5.0,0.06141547506794731,5.6141547506794724,4.282144310672116,-0.061415475067947256
0.00026918603036407864,5.0,0.05865894506779834,5.586589450677983,4.16206989053637,-0.058658945067798285
0.00027118603036407863,5.0,0.05572486296055912,5.557248629605591,4.047686082508012,-0.0557248629605591
0.0002731860303640786,5.0,0.0526283497853699,5.526283497853699,3.939332869762083,-0.05262834978536991
0.0002751860303640786,5.0,0.04938487010608805,5.49384870106088,3.837319649870624,-0.04938487010608804
0.0002771860303640786,5.0,0.04601016403032865,5.460101640303287,3.7419246157342068,-0.046010164030328704
0.0002791860303640786,5.0,0.0425201794831489,5.425201794831489,3.653394272220729,-0.042520179483148866
0.0002811860303640786,5.0,0.038931004998294494,5.389310049982945,3.5719430877392853,-0.03893100499829446
0.0002831860303640786,5.0,0.03525880328268227,5.352588032826823,3.4977532794583075,-0.03525880328268229
0.0002851860303640786,5.0,0.03151974580167105,5.31519745801671,3.4309747303739537,-0.03151974580167103
0.0002871860303640786,5.0,0.027729948623739453,5.2772994862373945,3.371725035948543,-0.02772994862373943
0.0002891860303640786,5.0,0.023905409753487095,5.23905409753487,3.320089677571316,-0.023905409753487032
0.0002911860303640786,5.0,0.020061948171455346,5.200619481714553,3.2761223196463733,-0.0200619481714553
0.00029318603036407857,5.0,0.01621514478819197,5.16215144788192,3.2398452266867257,-0.016215144788191933
0.00029518603036407856,5.0,0.012380285508303945,5.1238028550830395,3.211249796390229,-0.012380285508303938
0.00029718603036407856,5.0,0.00857230658802477,5.085723065880248,3.1902972042938993,-0.008572306588024785
0.00029918603036407855,5.0,0.004805742457116069,5.0480574245711605,3.1769191552487577,-0.004805742457116036
0.00030118603036407855,5.0,0.0010946761627945722,5.010946761627945,3.1710187366288465,-0.0010946761627945345
