# artifact_type: raw_data
# circuit_file: 02_vccs_transconductor.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\controlled_source\02_vccs_transconductor.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:30.221610

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag
10.0,9.99980261375633,179.64000473729791,-9.999605231408795,0.06282937266758387,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11.220184543019634,9.999751507346899,179.5960800480214,-9.999503020868657,0.07049499503628173,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12.589254117941671,9.999687169303517,179.54679630377512,-9.99937434839334,0.07909566755942096,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14.12537544622754,9.999606174271525,179.49149983514062,-9.99921236405292,0.0887453610078922,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15.848931924611131,9.99950421036595,179.4294573095613,-9.99900844531264,0.09957190212550916,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17.78279410038922,9.99937584984913,179.3598460508055,-9.998751738654601,0.11171864346477714,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19.952623149688787,9.999214260561152,179.2817431936492,-9.998428582860951,0.12534632838121404,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22.387211385683383,9.999010842838787,179.19411353842168,-9.998021783520763,0.1406351714612529,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25.118864315095784,9.99875477275046,179.0957959563274,-9.997509700560013,0.15778717567837133,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28.183829312644516,9.998432427581278,178.98548818219587,-9.996865100890886,0.17702870812021237,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31.622776601683764,9.998026663382117,178.86172981692545,-9.996053716169975,0.19861335590585927,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
