# artifact_type: raw_data
# circuit_file: 04_ltc6247_active_lowpass_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\opamp_circuits\04_ltc6247_active_lowpass_amplifier.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:27:09.702956

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(fb)_mag,V(fb)_phase,V(fb)_real,V(fb)_imag,V(filt)_mag,V(filt)_phase,V(filt)_real,V(filt)_imag,V(vcc)_mag,V(vcc)_phase,V(vcc)_real,V(vcc)_imag,V(vee)_mag,V(vee)_phase,V(vee)_real,V(vee)_imag,V(xu1.ndrv)_mag,V(xu1.ndrv)_phase,V(xu1.ndrv)_real,V(xu1.ndrv)_imag,I(E.XU1.E1)_mag,I(E.XU1.E1)_phase,I(E.XU1.E1)_real,I(E.XU1.E1)_imag,I(VCC)_mag,I(VCC)_phase,I(VCC)_real,I(VCC)_imag,I(VEE)_mag,I(VEE)_phase,I(VEE)_real,I(VEE)_imag
1.0,1.9999956050072272,-0.03599999526287448,1.9999952102240357,-0.0012566340519408158,1.0,0.0,1.0,0.0,6.283184066928886e-08,-90.03599999526348,-3.9478402019893846e-11,-6.283182826678432e-08,0.9999978024923636,-0.03599999526259101,0.9999976051007679,-0.0006283170259583919,0.9999998026079703,-0.03599999526259101,0.9999996052159797,-0.0006283182826678431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000115606743524,-0.03599999526287449,2.000115211936645,-0.0012567094512405674,0.00012000173629689392,179.96400000473682,-0.00012000171260950765,7.53992997516717e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1220184543019633,1.9999955026971203,-0.040392657664735966,1.9999950056945917,-0.0014099664524375578,1.0,0.0,1.0,0.0,7.049848114553901e-08,-90.04039265766387,-4.9700358439224226e-11,-7.049846362653792e-08,0.9999977513826726,-0.040392657663103015,0.9999975028814082,-0.0007049832262143274,0.999999751498177,-0.04039265766310302,0.9999995029964156,-0.0007049846362653792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000115504427274,-0.04039265766473605,2.0001150073949248,-0.001410051051834671,0.00012000173015375425,179.95960734233387,-0.00012000170033310553,8.459939711312828e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.258925411794167,1.9999953741211731,-0.04532130537365446,1.9999947484321607,-0.0015820081760716397,1.0,0.0,1.0,0.0,7.910059175595067e-08,-90.0453213053719,-6.256903616096501e-11,-7.910056700970788e-08,0.9999976870393945,-0.0453213053722177,0.9999973741948883,-0.0007910040879939807,0.9999996871547703,-0.04532130537221771,0.9999993743096384,-0.0007910056700970787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0001153758436176,-0.04532130537365453,2.0001147501170635,-0.0015821030981442163,0.00012000172244474828,179.95467869462513,-0.00012000168490278185,9.492207257667459e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.412537544622754,1.999995212046991,-0.05085133825098999,1.9999944243513534,-0.0017750420805977085,1.0,0.0,1.0,0.0,8.875231650712844e-08,-90.05085133824599,-7.876973684049163e-11,-8.875228155213849e-08,0.9999976060360246,-0.05085133825458966,0.9999972121882056,-0.0008875210403727999,0.9999996061512384,-0.05085133825458966,0.9999992123026316,-0.0008875228155213849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000115213759708,-0.05085133825098981,2.0001144260168076,-0.001775148584897579,0.0001200017127166429,179.949148661752,-0.00012000166545411695,1.0650429987046038e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.584893192461113,1.9999950081063416,-0.057056136067437466,1.999994016456539,-0.0019916295655032206,1.0,0.0,1.0,0.0,9.958172682795856e-08,-90.05705613606597,-9.916520317572453e-11,-9.958167745273545e-08,0.9999975040588515,-0.057056136068641926,0.9999970082339502,-0.000995814782778289,0.9999995041738612,-0.05705613606864194,0.9999990083479683,-0.0009958167745273544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000115009806822,-0.0570561360674374,2.00011401809752,-0.0019917490652687775,0.00012000170048078448,179.94294386393364,-0.00012000164098080468,1.1949976555687691e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.778279410038922,1.9999947512756944,-0.0640180321263929,1.9999935028629587,-0.0022346445530118018,1.0,0.0,1.0,0.0,1.1173252086778784e-07,-90.06401803211914,-1.2484156219102864e-10,-1.1173245112345381e-07,0.9999973756772413,-0.06401803212100635,0.9999967514708736,-0.0011173222764559042,0.9999993757919943,-0.06401803212100635,0.9999987515843781,-0.001117324511234538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0001147529607617,-0.06401803212639318,2.00011350447312,-0.002234778633919632,0.00012000168506724812,179.93598196786917,-0.00012000161016123556,1.3408090783007323e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9952623149688786,1.999994427988938,-0.07182940571615823,1.9999928563310558,-0.002507311616815556,1.0,0.0,1.0,0.0,1.2536593009728792e-07,-90.07182940570874,-1.5716616429248178e-10,-1.253658315808374e-07,0.9999972140544399,-0.071829405708329,0.9999964282254991,-0.0012536558083463159,0.9999992141688697,-0.071829405708329,0.9999984283383571,-0.0012536583158083738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0001144296546056,-0.07182940571615863,2.0001128579024225,-0.0025074620580198825,0.00012000166566775702,179.9281705942774,-0.00012000157136671241,1.5044120432652214e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2387211385683385,1.9999940212358094,-0.08059390783025129,1.9999920426367694,-0.0028132487597517064,1.0,0.0,1.0,0.0,1.4066285848899737e-07,-90.08059390783313,-1.978603975810473e-10,-1.40662719330883e-07,0.9999970105835,-0.08059390783390756,0.9999960212839801,-0.0014066243798912723,0.9999990106975228,-0.08059390783390756,0.9999980213960242,-0.0014066271933088298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0001140228770806,-0.08059390783025112,2.000112044159323,-0.0028134175574905385,0.00012000164127145765,179.91940609217284,-0.00012000152255353669,1.6879773883206675e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.511886431509579,1.9999935088011986,-0.09042783644799218,1.999991017894183,-0.003156515407686808,1.0,0.0,1.0,0.0,1.5782628263146737e-07,-90.09042783644804,-2.4909135488298574e-10,-1.5782608606553207e-07,0.9999967544289395,-0.09042783645156668,0.9999955089754318,-0.0015782577039505188,0.99999875454245,-0.09042783645156667,0.9999975090864511,-0.0015782608606553206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0001135104117176,-0.090427836447992,2.000111019355245,-0.0031567048017677735,0.00012000161051874788,179.90957216355514,-0.00012000146106183607,1.893940809656082e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.818382931264452,1.9999928639534132,-0.10146167946293484,1.9999897280898014,-0.0035416662546251085,1.0,0.0,1.0,0.0,1.7708394458029026e-07,-90.10146167946715,-3.1358723427753026e-10,-1.770836669237505e-07,0.999996431949734,-0.10146167946831819,0.9999948640179278,-0.0017708331273587467,0.9999984320625994,-0.10146167946831819,0.9999968641276572,-0.0017708366692375048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000112865525246,-0.10146167946293456,2.000109729473479,-0.0035418787581420474,0.00012000157183268952,179.8985383205416,-0.00012000138367773694,2.1250351693894928e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
