# artifact_type: raw_data
# circuit_file: 04_pjf_common_source.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\04_pjf_common_source.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:02.635629

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(drain)_mag,V(drain)_phase,V(drain)_real,V(drain)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(gate)_mag,V(gate)_phase,V(gate)_real,V(gate)_imag,V(src)_mag,V(src)_phase,V(src)_real,V(src)_imag,V(vss)_mag,V(vss)_phase,V(vss)_real,V(vss)_imag,I(VSS)_mag,I(VSS)_phase,I(VSS)_real,I(VSS)_imag
1.0,0.4590335622450998,66.77561378888832,0.18101211657941418,0.4218369648559339,0.8628157766251947,8.91752142423037,0.8523864979364545,0.13374723372453193,1.0,0.0,1.0,0.0,9.87570630183277e-07,-170.95610030951588,-9.75293341251933e-07,-1.5523739275778608e-07,0.9875681916290739,9.04306235260568,0.9752932015899004,0.1552227562248559,0.39162477429213194,173.1996677420659,-0.3888696240865831,0.0463721824170788,0.0,0.0,0.0,0.0,0.0001860605652529327,-169.8854921947436,-0.00018316895037430247,-3.267521325128807e-05
1.1220184543019633,0.4982901000967914,62.76016191659826,0.22807546746350937,0.44302889860117706,0.8647963468788156,7.94342392624199,0.8564986353230937,0.11951070774044809,1.0,0.0,1.0,0.0,9.900893959449244e-07,-171.9256867725492,-9.80274369356705e-07,-1.3906535422203144e-07,0.9900867270190903,8.073377556080548,0.980273997765009,0.13904897096052782,0.38918058105487074,170.35161221601552,-0.38367556137461384,0.06522720501509871,0.0,0.0,0.0,0.0,0.0001869147083962365,-170.80809316520072,-0.00018451450649943385,-2.9858082760292832e-05
1.258925411794167,0.5374521360726886,58.728294349087626,0.27898984067140065,0.4593685528758388,0.8663211010775541,7.072508520682684,0.8597293762008812,0.10666606709478675,1.0,0.0,1.0,0.0,9.921040120779697e-07,-172.7937687784968,-9.842674467648787e-07,-1.2445064893423155e-07,0.9921010649547536,7.205186697987616,0.9842667915324315,0.12443233571226192,0.38565453978109865,167.41008701176102,-0.3763815347116256,0.08406167011124871,0.0,0.0,0.0,0.0,0.00018770524050357938,-171.64071917472955,-0.0001857110416240214,-2.7288575108047712e-05
1.412537544622754,0.5758289233971441,54.70531863750778,0.3327035073747618,0.4699865159781139,0.867482420871837,6.295127335339201,0.8622517483344871,0.0951192568084051,1.0,0.0,1.0,0.0,9.937131869137811e-07,-173.5702500213687,-9.874626381760394e-07,-1.1128088808398101e-07,0.9937099068261972,6.428585287439972,0.987461640593099,0.11126044796653739,0.3809160159968581,164.3581986398404,-0.36680921579176595,0.10270350750168344,0.0,0.0,0.0,0.0,0.00018844225728634884,-172.39530932150038,-0.00018678485287073286,-2.4937984466134564e-05
1.584893192461113,0.612733631280346,50.722336084844905,0.38790888770180887,0.4743091794852219,0.8683577584975276,5.602272901571695,0.8642100720845305,0.084771151050939,1.0,0.0,1.0,0.0,9.949971280476062e-07,-174.2642779548927,-9.900156291104075e-07,-9.944012741397955e-08,0.9949934542089298,5.7344250754431485,0.9900142243686172,0.09941734992657551,0.3748225235362482,161.18474431674343,-0.3547932895777403,0.12088691335577653,0.0,0.0,0.0,0.0,0.0001891304002033476,-173.0823142835943,-0.00018775357089451192,-2.277948413458723e-05
1.778279410038922,0.6475406718351397,46.813908072459256,0.4431574968139737,0.47214442144144514,0.8690117141804972,4.985555654726373,0.865723928733828,0.07552111360799818,1.0,0.0,1.0,0.0,9.960207037052143e-07,-174.88423661333255,-9.92053125799139e-07,-8.881350010886761e-08,0.9960165711645815,5.114321217696177,0.9920512448854651,0.08878816112325288,0.3672352350939364,157.88560577226792,-0.34021923866109705,0.13824828222933633,0.0,0.0,0.0,0.0,0.00018977037093297414,-173.7105037771535,-0.00018862815366888102,-2.0789740919684513e-05
1.9952623149688786,0.6797373301688646,43.01529006468828,0.4970046830430002,0.4637123926082016,0.8694975752761784,4.4371774276650875,0.8668914839056532,0.06726952164991369,1.0,0.0,1.0,0.0,9.968361800227785e-07,-175.43776445814134,-9.936777266972049e-07,-7.92902596053276e-08,0.9968315225702412,4.5606343874096416,0.9936752994027132,0.07926212050300982,0.3580382249757399,154.46487971536993,-0.3230654903804574,0.15433748562489003,0.0,0.0,0.0,0.0,0.00019036058192767287,-174.2869342972346,-0.00018941504097881077,-1.8949759967812135e-05
2.2387211385683385,0.7089601285223537,39.359658470691045,0.548153998422909,0.4496127865701884,0.8698584985460124,3.949913641319301,0.867792278631976,0.05991968490776415,1.0,0.0,1.0,0.0,9.974855432582431e-07,-175.93178821214875,-9.949721757822546e-07,-7.076565853801327e-08,0.9974802973180259,4.066436870785249,0.9949691347602674,0.07073446410387309,0.34715960584616595,150.9355365627043,-0.30344307935239806,0.1686478269186993,0.0,0.0,0.0,0.0,0.00019089870550606739,-174.81708076692976,-0.0001901181919712814,-1.7244965800581734e-05
2.511886431509579,0.7350101757152032,35.87575085197592,0.5955712018121541,0.4307376254483932,0.8701285450081289,3.517107815843649,0.8684896801550543,0.0533793996044807,1.0,0.0,1.0,0.0,9.980024406064233e-07,-176.37256614440918,-9.960029918457762e-07,-6.314199625162613e-08,0.9979965498141676,3.625469181614247,0.9959992773980244,0.0631074707431364,0.334591579498466,147.31941124249676,-0.281623645186799,0.18066446120634316,0.0,0.0,0.0,0.0,0.00019138289898650528,-175.30509712016044,-0.00019074074663452299,-1.5664660793761077e-05
2.818382931264452,0.7578471234582618,32.58622404886821,0.6385482785816148,0.40815237161434964,0.8703337342674529,3.132674465294595,0.8690331667652096,0.04756221258478956,1.0,0.0,1.0,0.0,9.98413784299243e-07,-176.76573619633479,-9.96823514305548e-07,-5.63290866806194e-08,0.9984072042048477,3.232091811838697,0.9968190793076332,0.056290927656443564,0.32040566081615585,143.64638534549889,-0.25804637323632035,0.18992592435636363,0.0,0.0,0.0,0.0,0.00019181257359059023,-175.75414398898525,-0.00019128615213065802,-1.4201105256013007e-05
