# artifact_type: raw_data
# circuit_file: 05_njf_transfer_curve.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\05_njf_transfer_curve.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:38.878292

Vgs,V(drain),V(gate),V(vdd),I(VDD),I(VGS)
-3.0,9.999999986966642,-3.0,10.0,-1.303335737945499e-11,1.606713995767497e-11
-2.98,9.999466680056543,-2.98,10.0,-5.333199434576219e-07,1.6026606650177035e-11
-2.96,9.997866880568695,-2.96,10.0,-2.1331194313047724e-06,1.5985006850085335e-11
-2.94,9.99520078166349,-2.94,10.0,-4.7992183365101054e-06,1.5942340750559718e-11
-2.92,9.991468591484582,-2.92,10.0,-8.531408515418532e-06,1.5898608559743268e-11
-2.9,9.98667053314791,-2.9,10.0,-1.3329466852089397e-05,1.585381050075134e-11
-2.88,9.980806844717922,-2.88,10.0,-1.919315528207781e-05,1.5807946811647752e-11
-2.86,9.973877779201148,-2.86,10.0,-2.6122220798851375e-05,1.5761017745438403e-11
-2.84,9.965883604532605,-2.84,10.0,-3.4116395467395644e-05,1.5713023570057633e-11
-2.82,9.956824603550611,-2.82,10.0,-4.3175396449388406e-05,1.566396456834307e-11
-2.8,9.946701073995447,-2.8,10.0,-5.3298926004552785e-05,1.5613841038034264e-11
-2.78,9.935513328476508,-2.78,10.0,-6.448667152349208e-05,1.5562653291739845e-11
-2.76,9.923261694467731,-2.76,10.0,-7.673830553226943e-05,1.5510401656932963e-11
-2.7399999999999998,9.909946514281502,-2.7399999999999998,10.0,-9.005348571849807e-05,1.5457086475925166e-11
-2.7199999999999998,9.89556814506739,-2.7199999999999998,10.0,-0.0001044318549326094,1.5402708105865172e-11
-2.6999999999999997,9.880126958769655,-2.6999999999999997,10.0,-0.00011987304123034503,1.534726691869633e-11
-2.6799999999999997,9.863623342126068,-2.6799999999999997,10.0,-0.00013637665787393123,1.5290763301155472e-11
-2.6599999999999997,9.84605769663767,-2.6599999999999997,10.0,-0.00015394230336232897,1.5233197654742648e-11
-2.6399999999999997,9.82743043855883,-2.6399999999999997,10.0,-0.00017256956144117049,1.5174570395711194e-11
-2.6199999999999997,9.807741998870378,-2.6199999999999997,10.0,-0.0001922580011296214,1.5114881955040867e-11
-2.5999999999999996,9.786992823257762,-2.5999999999999996,10.0,-0.00021300717674223833,1.5054132778415982e-11
-2.5799999999999996,9.765183372095203,-2.5799999999999996,10.0,-0.0002348166279047964,1.499232332620958e-11
-2.5599999999999996,9.74231412041739,-2.5599999999999996,10.0,-0.0002576858795826104,1.492945407345511e-11
-2.5399999999999996,9.718385557900497,-2.5399999999999996,10.0,-0.0002816144420995023,1.486552550982745e-11
-2.5199999999999996,9.693398188840488,-2.5199999999999996,10.0,-0.0003066018111595112,1.4800538139621205e-11
-2.4999999999999996,9.667352532129843,-2.4999999999999996,10.0,-0.00033264746787015596,1.4734492481727434e-11
-2.4799999999999995,9.640249121228456,-2.4799999999999995,10.0,-0.0003597508787715441,1.466738906960454e-11
-2.4599999999999995,9.612088504140521,-2.4599999999999995,10.0,-0.00038791149585947794,1.459922845125515e-11
-2.4399999999999995,9.582871243397323,-2.4399999999999995,10.0,-0.00041712875660267733,1.4530011189208893e-11
-2.4199999999999995,9.552597916025583,-2.4199999999999995,10.0,-0.0004474020839744172,1.4459737860490786e-11
-2.3999999999999995,9.521269113517587,-2.3999999999999995,10.0,-0.00047873088648241365,1.4388409056591288e-11
-2.3799999999999994,9.488885441815663,-2.3799999999999994,10.0,-0.0005111145581843373,1.4316025383450832e-11
-2.3599999999999994,9.45544752127601,-2.3599999999999994,10.0,-0.0005445524787239895,1.424258746142361e-11
-2.3399999999999994,9.420955986644797,-2.3399999999999994,10.0,-0.0005790440133552031,1.4168095925253689e-11
-2.3199999999999994,9.38541148702957,-2.3199999999999994,10.0,-0.0006145885129704293,1.4092551424046398e-11
-2.2999999999999994,9.34881468588057,-2.2999999999999994,10.0,-0.0006511853141194304,1.401595462124966e-11
