# artifact_type: raw_data
# circuit_file: NMOS.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\NMOS.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:13.715047

V1,V(m1#body diode),V(m1#gate),V(n001),V(n002),I(V1),I(V2)
0.0,1.2259040741885371e-36,0.0,0.0,0.0,-7.00516613822021e-36,0.0
10.0,1.72307419799669e-11,0.0,10.0,0.0,-9.848122317634989e-11,0.0
20.0,1.8899999955220843e-11,0.0,20.0,0.0,-1.0803091754496563e-10,0.0
30.0,2.0649999986729455e-11,0.0,30.0,0.0,-1.1800693755503744e-10,0.0
40.0,2.239999999439909e-11,0.0,40.0,0.0,-1.2806822269340046e-10,0.0
50.0,2.4149999997130118e-11,0.0,50.0,0.0,-1.3801582099404186e-10,0.0
60.0,2.5899999998337104e-11,0.0,60.0,0.0,-1.4802026271354407e-10,0.0
70.0,2.764999999895083e-11,0.0,70.0,0.0,-1.580815478519071e-10,0.0
80.0,2.939999999929523e-11,0.0,80.0,0.0,-1.681428329902701e-10,0.0
90.0,3.1149999999503185e-11,0.0,90.0,0.0,-1.780335878720507e-10,0.0
100.0,3.289999999963604e-11,0.0,100.0,0.0,-1.8803802959155291e-10,0.0
110.0,3.464999999972481e-11,0.0,110.0,0.0,-1.9804247131105512e-10,0.0
120.0,3.639999999978634e-11,0.0,120.0,0.0,-2.0804691303055733e-10,0.0
130.0,3.814999999983029e-11,0.0,130.0,0.0,-2.1805135475005955e-10,0.0
140.0,3.989999999986248e-11,0.0,140.0,0.0,-2.2816948330728337e-10,0.0
150.0,4.164999999988658e-11,0.0,150.0,0.0,-2.3806023818906397e-10,0.0
160.0,4.339999999990496e-11,0.0,160.0,0.0,-2.482920535840094e-10,0.0
170.0,4.514999999991919e-11,0.0,170.0,0.0,-2.580691216280684e-10,0.0
180.0,4.689999999993039e-11,0.0,180.0,0.0,-2.6830093702301383e-10,0.0
190.0,4.8649999999939275e-11,0.0,190.0,0.0,-2.780780050670728e-10,0.0
200.0,5.039999999994641e-11,0.0,200.0,0.0,-2.8830982046201825e-10,0.0
210.0,5.2149999999952194e-11,0.0,210.0,0.0,-2.9808688850607723e-10,0.0
220.0,5.389999999995693e-11,0.0,220.0,0.0,-3.0809133022557944e-10,0.0
230.0,5.564999999996083e-11,0.0,230.0,0.0,-3.183231456205249e-10,0.0
240.0,5.7399999999964053e-11,0.0,240.0,0.0,-3.2810021366458386e-10,0.0
250.0,5.914999999996674e-11,0.0,250.0,0.0,-3.383320290595293e-10,0.0
260.0,6.089999999996897e-11,0.0,260.0,0.0,-3.481090971035883e-10,0.0
270.0,6.264999999997084e-11,0.0,270.0,0.0,-3.583409124985337e-10,0.0
280.0,6.439999999997241e-11,0.0,280.0,0.0,-3.6834535421803594e-10,0.0
290.0,6.614999999997375e-11,0.0,290.0,0.0,-3.7834979593753815e-10,0.0
300.0,6.789999999997485e-11,0.0,300.0,0.0,-3.878994903061539e-10,0.0
0.0,1.2259040741885371e-36,5.0,0.0,5.0,-7.00516613822021e-36,0.0
10.0,1.7149999641789804e-11,5.0,10.0,5.0,-1.6845264873820014,0.0
20.0,1.889999995522079e-11,5.0,20.0,5.0,-1.6845234968351974,0.0
30.0,2.0649999986729455e-11,5.0,30.0,5.0,-1.6845269390242947,0.0
