# artifact_type: raw_data
# circuit_file: amplifier circuit.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\amplifier circuit.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:01.903172

Time (s),V(n001),V(n002),V(n003),V(n004),V(n005),V(xu1.ndrv),I(E.XU1.E1),I(V1),I(V2),I(V3)
0.0,0.0,0.0,12.0,0.0,-12.0,0.0,0.0,-1.2e-11,0.0,-1.2e-11
2e-07,1.2567485701409984e-08,-0.012566229064680539,12.0,0.0012566367307023255,-12.0,-0.012567485701409984,1.2566367294450376e-06,-1.2e-11,-1.256624163216624e-06,-1.2e-11
4e-07,2.5134951557044627e-08,-0.025132438285570137,12.0,0.0025132714770037265,-12.0,-0.02513495155704463,2.5132714744913187e-06,-1.2e-11,-2.5132463420521693e-06,-1.2e-11
8e-07,5.026974434807459e-08,-0.050264717821000796,12.0,0.005026527078818862,-12.0,-0.05026974434807459,5.026527073792586e-06,-1.2e-11,-5.0264768090745145e-06,-1.2e-11
1.6e-06,1.0053821857404889e-07,-0.1005281656469022,12.0,0.010052927156730652,-12.0,-0.10053821857404889,1.0052927146689261e-05,-1.2e-11,-1.0052826618512078e-05,-1.2e-11
3.2e-06,2.0106627636384115e-07,-0.20104617152553578,12.0,0.020104838325457577,-12.0,-0.20106627636384114,2.0104838305362582e-05,-1.2e-11,-2.0104637259181215e-05,-1.2e-11
6.4e-06,4.0205127261485596e-07,-0.4020110710655332,12.0,0.0402015493629532,-12.0,-0.40205127261485596,4.0201549322771424e-05,-1.2e-11,-4.0201147311680585e-05,-1.2e-11
1.28e-05,8.034525014564794e-07,-0.8033721633564262,12.0,0.08033810013339422,-12.0,-0.8034525014564794,8.033810005314557e-05,-1.2e-11,-8.033729668089277e-05,-1.2e-11
2.56e-05,1.6017109570430325e-06,-1.6015508002012904,12.0,0.1601568419021818,-12.0,-1.6017109570430326,0.00016015684174219835,-1.2e-11,-0.00016015524019122475,-1.2e-11
4.56e-05,2.826344887835465e-06,-2.826062278498918,12.0,0.2826093368292684,-12.0,-2.826344887835465,0.0002826093365468907,-1.2e-11,-0.0002826065104843806,-1.2e-11
6.56e-05,4.006405671370135e-06,-4.006005066456844,12.0,0.40060491369192286,-12.0,-4.006405671370135,0.0004006049132909695,-1.2e-11,-0.00040060090728625153,-1.2e-11
8.56e-05,5.123283044156557e-06,-5.122770761445313,12.0,0.5122827117558799,-12.0,-5.123283044156556,0.0005122827112433725,-1.2e-11,-0.0005122775884728358,-1.2e-11
0.00010559999999999999,6.159363182835689e-06,-6.158747301330872,12.0,0.6158815054325883,-12.0,-6.159363182835689,0.0006158815048165067,-1.2e-11,-0.0006158753460694055,-1.2e-11
0.0001256,7.098306484696286e-06,-7.097596717217137,12.0,0.7097674798588468,-12.0,-7.098306484696286,0.0007097674791491926,-1.2e-11,-0.0007097603815523621,-1.2e-11
0.0001456,7.925305252970463e-06,-7.924512792974122,12.0,0.7924599971331905,-12.0,-7.925305252970463,0.0007924599963411438,-1.2e-11,-0.0007924520718279375,-1.2e-11
0.0001656,8.627317223057422e-06,-8.626454568111424,12.0,0.8626549468600877,-12.0,-8.627317223057421,0.0008626549459975763,-1.2e-11,-0.0008626463195428647,-1.2e-11
0.00018559999999999998,9.193271246827264e-06,-9.192352001515433,12.0,0.9192453127499147,-12.0,-9.193271246827264,0.0009192453118309629,-1.2e-11,-0.000919236119478668,-1.2e-11
0.00020559999999999998,9.614241891240595e-06,-9.613280552610629,12.0,0.9613386309271432,-12.0,-9.614241891240596,0.0009613386299669457,-1.2e-11,-0.0009613290166852521,-1.2e-11
0.00022559999999999998,9.883590197759344e-06,-9.882601926695713,12.0,0.9882710646187888,-12.0,-9.883590197759345,0.0009882710636315295,-1.2e-11,-0.000988261181028591,-1.2e-11
0.0002456,9.997068382688829e-06,-9.99606876481657,12.0,0.999617873256878,-12.0,-9.997068382688829,0.0009996178722584403,-1.2e-11,-0.0009996078761884953,-1.2e-11
0.0002656,9.952886827264131e-06,-9.951891627154234,12.0,0.9952001108909334,-12.0,-9.95288682726413,0.0009952001098962882,-1.2e-11,-0.0009951901580041063,-1.2e-11
0.0002856,9.75174230100708e-06,-9.750767213559781,12.0,0.9750874482725093,-12.0,-9.751742301007079,0.0009750874472977955,-1.2e-11,-0.0009750776965302083,-1.2e-11
0.0003056,9.396806973254664e-06,-9.395867376181497,12.0,0.9395970741058203,-12.0,-9.396806973254664,0.0009395970731667092,-1.2e-11,-0.000939587677298847,-1.2e-11
0.0003256,8.893678386153627e-06,-8.892789097461725,12.0,0.8892886927923971,-12.0,-8.893678386153628,0.0008892886919031895,-1.2e-11,-0.000889279799114011,-1.2e-11
0.0003456,8.250291178077002e-06,-8.249466222380267,12.0,0.8249556975583227,-12.0,-8.250291178077001,0.0008249556967339089,-1.2e-11,-0.0008249474472671446,-1.2e-11
0.0003656,7.476791949637046e-06,-7.476044336979625,12.0,0.747612658169107,-12.0,-7.476791949637047,0.0007476126574221809,-1.2e-11,-0.0007476051813771574,-1.2e-11
0.0003856,6.585379245732299e-06,-6.584720766412398,12.0,0.6584793205584101,-12.0,-6.585379245732298,0.0006584793198998184,-1.2e-11,-0.0006584727351791644,-1.2e-11
0.0004056,5.5901111772074725e-06,-5.589552215837325,12.0,0.5589613707060275,-12.0,-5.590111177207472,0.0005589613701468821,-1.2e-11,-0.0005589557805948502,-1.2e-11
0.0004256,4.506683716047538e-06,-4.506233087781858,12.0,0.45062826613027346,-12.0,-4.506683716047538,0.00045062826568020853,-1.2e-11,-0.00045062375944655744,-1.2e-11
0.0004456,3.3521831605231713e-06,-3.351847972038901,12.0,0.33518848460536665,-12.0,-3.3521831605231713,0.0003351884842701658,-1.2e-11,-0.00033518513242220617,-1.2e-11
0.0004656,2.144816674060199e-06,-2.1446022114799668,12.0,0.21446258044633815,-12.0,-2.144816674060199,0.00021446258023205544,-1.2e-11,-0.0002144604356296641,-1.2e-11
0.0004856,9.036251473959249e-07,-0.9035347929227352,12.0,0.09035447327993566,-12.0,-0.9036251473959249,9.035447318972434e-05,-1.2e-11,-9.035356965478827e-05,-1.2e-11
0.0005055999999999999,-3.518170876422807e-07,0.3517819090644106,12.0,-0.035178577905237464,-12.0,0.3518170876422807,-3.5178577870109695e-05,-1.2e-11,3.5178226088149824e-05,-1.2e-11
0.0005256,-1.6017109570430309e-06,1.6015508002012888,12.0,-0.16015684190218163,-12.0,1.6017109570430308,-0.0001601568417419763,-1.2e-11,0.0001601552401912246,-1.2e-11
0.0005456,-2.82634488783547e-06,2.8260622784989233,12.0,-0.2826093368292689,-12.0,2.8263448878354698,-0.0002826093365464466,-1.2e-11,0.0002826065104843811,-1.2e-11
0.0005656000000000001,-4.006405671370141e-06,4.00600506645685,12.0,-0.40060491369192347,-12.0,4.006405671370141,-0.0004006049132909695,-1.2e-11,0.00040060090728625213,-1.2e-11
0.0005856000000000001,-5.123283044156564e-06,5.12277076144532,12.0,-0.5122827117558807,-12.0,5.123283044156564,-0.0005122827112442607,-1.2e-11,0.0005122775884728365,-1.2e-11
0.0006056000000000002,-6.159363182835693e-06,6.158747301330876,12.0,-0.6158815054325888,-12.0,6.159363182835693,-0.0006158815048173949,-1.2e-11,0.000615875346069406,-1.2e-11
