# artifact_type: raw_data
# circuit_file: differential_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\differential_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:08.046607

Time (s),V(m1#body diode),V(m1#gate),V(m2#body diode),V(m2#gate),V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(n007),V(n008),I(V1),I(V2),I(V3)
0.0,-1.689566285275544,0.0,-1.689566285275544,0.0,12.0,0.0,0.0,-0.8850000000051748,-0.8850000000051637,0.0,-1.6895662852756623,-12.0,0.0,-0.002577000000001034,-0.002577
2e-07,-1.6895612841876997,3.938710272155532e-06,-1.689561284108757,3.796077226558836e-06,12.0,1.2566367307023255e-05,3.9412977930097364e-06,-0.8849991826435777,-0.884995987243276,3.7949387449353554e-06,-1.6895612840848588,-12.0,-8.625069514013519e-10,-0.0025769995169886858,-0.002577
4e-07,-1.6895574251599859,7.849830111594791e-06,-1.6895574249974217,7.5374720079346424e-06,12.0,2.5132714770037265e-05,7.855013421999203e-06,-0.8850000154576196,-0.8849902420399518,7.535211444501292e-06,-1.689557425044152,-12.0,-1.7277701348038064e-09,-0.0025769990257497573,-0.002577
8e-07,-1.6895492107252161,1.6268676577668728e-05,-1.6895492103954362,1.5570888513949388e-05,12.0,5.0265270788188626e-05,1.627887249715604e-05,-0.8850056377087615,-0.8849759421220174,1.556621864835488e-05,-1.689549210499332,-12.0,-3.3986398291032585e-09,-0.0025769981579830785,-0.002577
1.6e-06,-1.6895299602508451,3.6063796594598685e-05,-1.6895299595884516,3.432191414187713e-05,12.0,0.00010052927156730652,3.6083130436937794e-05,-0.8850399274382017,-0.8849299380523954,3.4311620655680425e-05,-1.689529959815374,-12.0,-6.444614113036873e-09,-0.0025769969865490597,-0.002577
3.2e-06,-1.6894851670481195,8.245831856346086e-05,-1.689485165727892,7.754559478823086e-05,12.0,0.00020104838325457578,8.249388491296334e-05,-0.8851949240913413,-0.8847640437790387,7.752233808680482e-05,-1.6894851662493924,-12.0,-1.1855449834161244e-08,-0.0025769958967870386,-0.002577
6.4e-06,-1.6893870005138372,0.0001859317882975664,-1.6893869979070424,0.00017042701126729343,12.0,0.000402015493629532,0.00018599659396746501,-0.8858281918699651,-0.884126165155533,0.0001703758984977441,-1.6893869990528725,-12.0,-2.1601889966206696e-08,-0.0025769954357025503,-0.002577
1.28e-05,-1.6891861676048057,0.00040553787806182906,-1.6891861625390991,0.0003524791336526889,12.0,0.0008033810013339422,0.00040565719520366814,-0.8883116781922186,-0.8816429714719867,0.00035237342162620103,-1.6891861649171973,-12.0,-3.9772380613027406e-08,-0.0025769954649664207,-0.002577
2.56e-05,-1.6887873645239853,0.0008721753288775808,-1.6887873549796142,0.0006834056877094846,12.0,0.001601568419021818,0.0008723940811789337,-0.8977675044948386,-0.8721865218849896,0.0006832007274912372,-1.6887873595834018,-12.0,-7.291743378428844e-08,-0.002576995402637983,-0.002577
4.56e-05,-1.688180105347013,0.0016558888178919012,-1.688180089909671,0.0011137146038397092,12.0,0.002826093368292684,0.001656239773970198,-0.9230179317477718,-0.8469255952157404,0.0011133805896628103,-1.6881800974027223,-12.0,-1.1698535943224863e-07,-0.0025769943526963513,-0.002577
6.56e-05,-1.6876006387540363,0.0024828836526234327,-1.687600618671957,0.0014441323398792644,12.0,0.004006049136919229,0.002483340465224941,-0.9588925087830945,-0.8110284817692239,0.0014436992301102313,-1.6876006283475267,-12.0,-1.5227086716942877e-07,-0.002576992099055232,-0.002577
8.56e-05,-1.6870559877844793,0.0033291981511116148,-1.6870559641920442,0.001683850285087024,12.0,0.0051228271175587994,0.0033297360784233553,-1.0029513570021171,-0.7669388972688793,0.0016833452815025734,-1.687055975437458,-12.0,-1.7930910391354442e-07,-0.0025769890254270997,-0.002577
0.00010559999999999999,-1.686555229726438,0.004170298776290882,-1.686555203654824,0.0018387263091944536,12.0,0.006158815054325884,0.0041708951522615,-1.0529552922433554,-0.7168949627083769,0.0018381748567374324,-1.6865552158927062,-12.0,-1.987919902064384e-07,-0.002576985025495173,-0.002577
0.0001256,-1.6861029674453838,0.004987401989907936,-1.6861029398411571,0.0019179495694151144,12.0,0.007097674798588468,0.0049880348818829474,-1.1068471242614095,-0.6629606101754888,0.001917374357107982,-1.6861029525875546,-12.0,-2.1096399167055205e-07,-0.00257698077344369,-0.002577
0.0001456,-1.6857053936268835,0.005761357949100349,-1.6857053653665497,0.0019282311676225364,12.0,0.007924599971331905,0.005762006727073626,-1.1627230659414973,-0.6070419936662859,0.001927652871761008,-1.6857053781722355,-12.0,-2.162593244258279e-07,-0.0025769765059607784,-0.002577
0.0001656,-1.6853659816780584,0.006476773685948664,-1.68536595358458,0.0018781763217360845,12.0,0.008626549468600878,0.006477418425261666,-1.2188187516444569,-0.5509097303702077,0.001877613037824737,-1.685365966078493,-12.0,-2.1491310433392119e-07,-0.0025769728482014664,-0.002577
0.00018559999999999998,-1.6850888857099817,0.00711859971931926,-1.6850888585617037,0.0017750208117551722,12.0,0.009192453127499148,0.007119221688750885,-1.2734949094360415,-0.4962063475909808,0.0017744884652156074,-1.6850888703985394,-12.0,-2.0732314387482632e-07,-0.002576970125702702,-0.002577
0.00020559999999999998,-1.6848765046487757,0.007674460956777637,-1.6848764791858075,0.0016270117491449902,12.0,0.009613386309271433,0.0076750424599324385,-1.3252359188899268,-0.4444522610669246,0.001626523792007388,-1.6848764900851507,-12.0,-1.9383438493389951e-07,-0.0025769688179956853,-0.002577
0.00022559999999999998,-1.684731476720579,0.008132729209276907,-1.684731453641617,0.0014414167335121651,12.0,0.009882710646187887,0.008133254046256885,-1.372652368091813,-0.3970391597378331,0.0014409844381807109,-1.68473146334217,-12.0,-1.7494565999310012e-07,-0.002576969152782965,-0.002577
0.0002456,-1.6846553131545414,0.008483872637657042,-1.6846552931091725,0.0012257191440197233,12.0,0.00999617873256878,0.008484326193418787,-1.4144931570255777,-0.35522034196230834,0.001225351538558156,-1.684655301407456,-12.0,-1.511852539149994e-07,-0.002576971349898789,-0.002577
0.0002656,-1.6846495653120077,0.008719418037212517,-1.6846495488845399,0.0009863591731987427,12.0,0.009952001108909335,0.00871978770123482,-1.4496602422549834,-0.32009360768932993,0.000986063354192485,-1.684649555593789,-12.0,-1.232213407674516e-07,-0.0025769753849944313,-0.002577
0.0002856,-1.6847149615025998,0.008832837429100737,-1.6847149491935356,0.0007293735734527698,12.0,0.009750874482725092,0.008833112757618269,-1.4772267861203106,-0.2925846070133389,0.0007291548270046684,-1.6847149541820556,-12.0,-9.177617251068239e-08,-0.002576981139313365,-0.002577
0.0003056,-1.6848519984241979,0.00881908634506784,-1.6848519906286283,0.0004597052830066263,12.0,0.009395970741058203,0.008819259358482611,-1.4964530298171683,-0.2734298262465238,0.0004595674127827915,-1.6848519937806326,-12.0,-5.767113825755912e-08,-0.0025769882856063694,-0.002577
0.0003256,-1.6850602753077142,0.008675264517203046,-1.685060272297803,0.00018168870121818177,12.0,0.008892886927923971,0.008675329784346118,-1.506799139618789,-0.2631649374337073,0.0001816342109548953,-1.685060273550459,-12.0,-2.1755714357785256e-08,-0.0025769964077052496,-0.002577
0.0003456,-1.6853387259947936,0.008400455720759592,-1.685338727907051,-0.00010119936021310734,12.0,0.008249556975583227,0.008400410464712854,-1.5079315963524835,-0.26211808815248006,-0.00010116900951025426,-1.6853387272113913,-12.0,1.508534891296268e-08,-0.0025770049684504964,-0.002577
0.0003656,-1.6856845556250968,0.00799669087417254,-1.68568456247344,-0.0003852931210760781,12.0,0.007476126581691071,0.007996534751721532,-1.4997186965515619,-0.2704165340555704,-0.00038517756780573635,-1.68568455983124,-12.0,5.2040817003046176e-08,-0.002577013523060713,-0.002577
0.0003856,-1.6860958868971585,0.007466366659770879,-1.686095898517192,-0.0006694873322099053,12.0,0.006584793205584101,0.007466102267052439,-1.4822371487920651,-0.2879748737354433,-0.0006692865462460314,-1.686095893936818,-12.0,8.813090614683373e-08,-0.002577021202252751,-0.002577
0.0004056,-1.6865667818003813,0.006817078302780347,-1.6865667979606653,-0.0009499363053533348,12.0,0.005589613707060275,0.006816710173840313,-1.455750716586296,-0.3145267284606561,-0.0009496514099303556,-1.6865667914946831,-12.0,1.2270964667800387e-07,-0.0025770277445046957,-0.002577
0.0004256,-1.687090867019755,0.006057794538812666,-1.6870908873803299,-0.0012236013427447227,12.0,0.004506282661302734,0.006057329224843604,-1.420679426345082,-0.3496483858254358,-0.0012232343724329928,-1.687090879089824,-12.0,1.5510465635408694e-07,-0.002577032781217052,-0.002577
0.0004456,-1.6876612458155937,0.0051989264586012746,-1.6876612699683222,-0.0014880560857141907,12.0,0.0033518848460536666,0.005198372512301401,-1.3775948913340077,-0.3927639865775987,-0.0014876098027733586,-1.687661259947707,-12.0,1.8464876662477343e-07,-0.002577035887791161,-0.002577
0.0004656,-1.688268503809517,0.004254185735088595,-1.6882685313028636,-0.0017392229224039712,12.0,0.0021446258044633816,0.00425355305691286,-1.32719280131392,-0.44317742463453413,-0.0017387013120103681,-1.6882685196493292,-12.0,2.1089272524494786e-07,-0.0025770370225948456,-0.002577
0.0004856,-1.6889030031823118,0.003238125289347041,-1.688903033540985,-0.0019735241275193223,12.0,0.0009035447327993566,0.0032374251252293117,-1.270268337536545,-0.5000926105810599,-0.0019729322478449687,-1.6889030203826787,-12.0,2.333880392429955e-07,-0.0025770360948117604,-0.002577
0.0005055999999999999,-1.6895535509336077,0.002167406532560548,-1.6895535836739577,-0.002186318681764901,12.0,-0.00035178577905237466,0.0021666510015263744,-1.2076965593340094,-0.5626362144583119,-0.00218566298287004,-1.6895535691372383,-12.0,2.518436780578749e-07,-0.0025770332773792327,-0.002577
0.0005256,-1.6902088757557217,0.0010591866533320171,-1.690208910394836,-0.0023732785023432915,12.0,-0.0016015684190218164,0.0010583886662064487,-1.1404136578115427,-0.6298737325583765,-0.002372566732323594,-1.6902088946369043,-12.0,2.659957085228265e-07,-0.002577028739036992,-0.002577
0.0005456,-1.690857075118325,-6.834516821031811e-05,-1.6908571111783262,-0.0025296614711884727,12.0,-0.0028260933682926893,-6.917224454744167e-05,-1.0694039210175552,-0.7008240973531699,-0.0025289028003483683,-1.6908570943545158,-12.0,2.756921123745248e-07,-0.0025770228018370724,-0.002577
0.0005656000000000001,-1.6914865528578718,-0.0011969980905493782,-1.6914865898656104,-0.0026512130286195854,12.0,-0.004006049136919235,-0.0011978405531245166,-0.99568920026304,-0.7744685904724484,-0.002650417903248611,-1.6914865721655894,-12.0,2.808208583794718e-07,-0.002577015779073549,-0.002577
0.0005856000000000001,-1.692085821350606,-0.0023083562855229917,-1.6920858588345093,-0.002733853818471625,12.0,-0.005122827117558807,-0.0023092003735461952,-0.9203226654656484,-0.8497579273584002,-0.0027330339082991353,-1.6920858404503278,-12.0,2.8136267440126125e-07,-0.002577008059282405,-0.002577
0.0006056000000000002,-1.6926440400199427,-0.0033843853968735377,-1.6926440775048806,-0.002774228723970075,12.0,-0.006158815054325888,-0.0033852174761469915,-0.8443837523330574,-0.9256164485101337,-0.002773396704958587,-1.6926440586693607,-12.0,2.7735975781788973e-07,-0.0025770000200843195,-0.002577
0.0006256000000000002,-1.6931509591886726,-0.0044073424463589445,-1.6931509961905222,-0.00276956347364328,12.0,-0.007097674798588479,-0.0044081493040073185,-0.7689741732332451,-1.0009466194117458,-0.0027687328537871437,-1.693150977145308,-12.0,2.6895254945811604e-07,-0.002576992079264499,-0.002577
0.0006456000000000003,-1.6935972223581717,-0.0053601630263496736,-1.693597258379021,-0.0027179821796372433,12.0,-0.007924599971331917,-0.005360932126703063,-0.6952121771020547,-1.074634323706384,-0.002717167029528385,-1.6935972394128695,-12.0,2.563667844628854e-07,-0.0025769846500808442,-0.002577
0.0006656000000000003,-1.6939744310617195,-0.006226531832522711,-1.693974465587378,-0.002618467507425365,12.0,-0.008626549468600888,-0.006227251621876728,-0.6242241756526735,-1.1455574400244402,-0.0026176822027645357,-1.693974447001906,-12.0,2.39929784672416e-07,-0.0025769781615677116,-0.002577
0.0006856000000000004,-1.6942753894366238,-0.006991276408588001,-1.6942754219373883,-0.002471082231837507,12.0,-0.00919245312749916,-0.006991936563557183,-0.557131687039793,-1.2125984884459342,-0.0024703411294986575,-1.6942754040816954,-12.0,2.2005165639419769e-07,-0.002576973017548573,-0.002577
0.0007056000000000005,-1.694494309350872,-0.007640658942837289,-1.6944943392871064,-0.002277017247201127,12.0,-0.00961338630927144,-0.007641250583555003,-0.4950331488480115,-1.2746626525234106,-0.0022763343468970576,-1.6944943225174074,-12.0,1.9721357257164368e-07,-0.0025769695801371425,-0.002577
0.0007256000000000005,-1.6946270517892181,-0.008162856805757679,-1.6946270786222204,-0.0020387508891673706,12.0,-0.00988271064618789,-0.008163372607169385,-0.43898025944435387,-1.3307009391660145,-0.0020381394473331705,-1.6946270633284946,-12.0,1.719338039018506e-07,-0.002576968119861037,-0.002577
0.0007456000000000006,-1.6946713639334388,-0.00854836878861949,-1.6946713871421897,-0.001760076805744859,12.0,-0.009996178732568781,-0.008548803001338858,-0.38995014196082733,-1.3797376848329712,-0.0017595489410625403,-1.6946713736982462,-12.0,1.4473757312299236e-07,-0.00257696878267938,-0.002577
0.0007656000000000006,-1.694626992615054,-0.008790427212625768,-1.6946270117177404,-0.0014461016877660715,12.0,-0.009952001108909331,-0.008790775580284356,-0.34881534025239985,-1.4209002172938519,-0.0014456679873698604,-1.6946270004980968,-12.0,1.1612255286249755e-07,-0.0025769715557546254,-0.002577
0.0007856000000000007,-1.694495760017345,-0.008885262799545282,-1.6944957745962048,-0.0011031086883408758,12.0,-0.009750874482725084,-0.008885522405168548,-0.31631462523570997,-1.4534479489620047,-0.0011027778549843805,-1.6944957659180382,-12.0,8.653520775565361e-08,-0.0025769762574197716,-0.002577
0.0008056000000000007,-1.6942814223293512,-0.008832234717005796,-1.694281432055561,-0.0007383310718780817,12.0,-0.009395970741058187,-0.008832403787091986,-0.2930276083026764,-1.4767978490297047,-0.0007381096389863858,-1.6942814261912806,-12.0,5.635669539662004e-08,-0.0025769825457332383,-0.002577
0.0008256000000000008,-1.6939895167861148,-0.008633791992402967,-1.693989521441471,-0.0003596500580707457,12.0,-0.008892886927923947,-0.008633869697572072,-0.2793557160431031,-1.4905437589674158,-0.00035954219541212205,-1.6939895185623344,-12.0,2.5901723035187486e-08,-0.0025769899475010525,-0.002577
