# artifact_type: raw_data
# circuit_file: inverting amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\inverting amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:09.947959

Time (s),V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(xu1.ndrv),I(E.XU1.E1),I(V1),I(V2),I(V3)
0.0,0.0,0.0,12.0,0.0,0.0,-12.0,0.0,0.0,-1.2e-11,-1.2e-11,0.0
2e-07,1.2566354752103646e-10,-0.00012566229077120983,12.0,1.2566367307023255e-05,0.0,-12.0,-0.00012566354752103646,1.2567498266287825e-09,-1.2e-11,-1.2e-11,-1.2566241643475735e-09
4e-07,2.513268966021787e-10,-0.00025132438310451,12.0,2.5132714770037265e-05,0.0,-12.0,-0.0002513268966021787,2.5134976686796984e-09,-1.2e-11,-1.2e-11,-2.5132463443140666e-09
8e-07,5.026522056870844e-10,-0.0005026471787076236,12.0,5.0265270788188626e-05,0.0,-12.0,-0.0005026522056870844,5.026979460736464e-09,-1.2e-11,-1.2e-11,-5.026476813598294e-09
1.6e-06,1.0052917112961502e-09,-0.001005281657464241,12.0,0.00010052927156730652,0.0,-12.0,-0.0010052917112961502,1.0053831909139985e-08,-1.2e-11,-1.2e-11,-1.0052826627559522e-08
3.2e-06,2.0104818238934338e-09,-0.002010461717245695,12.0,0.00020104838325457578,0.0,-12.0,-0.0020104818238934337,2.0106647738698386e-08,-1.2e-11,-1.2e-11,-2.010463727727519e-08
6.4e-06,4.02015091980266e-09,-0.004020110714635201,12.0,0.000402015493629532,0.0,-12.0,-0.0040201509198026595,4.020516745830566e-08,-1.2e-11,-1.2e-11,-4.020114734786122e-08
1.28e-05,8.03380198684804e-09,-0.008033721641517567,12.0,0.0008033810013339422,0.0,-12.0,-0.008033801986848041,8.034533047381054e-08,-1.2e-11,-1.2e-11,-8.033729675319554e-08
2.56e-05,1.601566818912394e-08,-0.016015508017868097,12.0,0.001601568419021818,0.0,-12.0,-0.016015668189123942,1.601712558453594e-07,-1.2e-11,-1.2e-11,-1.601552403353629e-07
4.56e-05,2.8260905447738278e-08,-0.028260622812966915,12.0,0.002826093368292684,0.0,-12.0,-0.028260905447738276,2.826347713612287e-07,-1.2e-11,-1.2e-11,-2.8260651073872364e-07
6.56e-05,4.0060451345195186e-08,-0.04006005070422749,12.0,0.004006049136919229,0.0,-12.0,-0.04006045134519519,4.006409677001499e-07,-1.2e-11,-1.2e-11,-4.006009076467884e-07
8.56e-05,5.1228219993984694e-08,-0.05122770766516805,12.0,0.0051228271175587994,0.0,-12.0,-0.05122821999398469,5.12328816641705e-07,-1.2e-11,-1.2e-11,-5.122775889338806e-07
0.00010559999999999999,6.158808901121382e-08,-0.061587473074279725,12.0,0.006158815054325884,0.0,-12.0,-0.06158808901121382,6.159369340952292e-07,-1.2e-11,-1.2e-11,-6.158753466236873e-07
0.0001256,7.097667707379501e-08,-0.07097596724243685,12.0,0.007097674798588468,0.0,-12.0,-0.07097667707379501,7.098313581643811e-07,-1.2e-11,-1.2e-11,-7.097603821911394e-07
0.0001456,7.924592053951077e-08,-0.07924512800819312,12.0,0.007924599971331905,0.0,-12.0,-0.07924592053951078,7.925313176559978e-07,-1.2e-11,-1.2e-11,-7.924520725411366e-07
0.0001656,8.626540849910014e-08,-0.08626454576651528,12.0,0.008626549468600878,0.0,-12.0,-0.08626540849910014,8.627325848581391e-07,-1.2e-11,-1.2e-11,-8.626463203192379e-07
0.00018559999999999998,9.192443943420153e-08,-0.09192352010615772,12.0,0.009192453127499148,0.0,-12.0,-0.09192443943420153,9.193280438163365e-07,-1.2e-11,-1.2e-11,-9.192361203059715e-07
0.00020559999999999998,9.613376704642717e-08,-0.09613280562127681,12.0,0.009613386309271433,0.0,-12.0,-0.09613376704642716,9.614251503531346e-07,-1.2e-11,-1.2e-11,-9.613290175504388e-07
0.00022559999999999998,9.882700772480182e-08,-0.09882601936479389,12.0,0.009882710646187887,0.0,-12.0,-0.09882700772480182,9.883600079335642e-07,-1.2e-11,-1.2e-11,-9.882611819180162e-07
0.0002456,9.996168745496356e-08,-0.0999606877471258,12.0,0.00999617873256878,0.0,-12.0,-0.09996168745496356,9.997078377621538e-07,-1.2e-11,-1.2e-11,-9.996078770881325e-07
0.0002656,9.951991165974291e-08,-0.0995189163700651,12.0,0.009952001108909335,0.0,-12.0,-0.09951991165974292,9.952896778131493e-07,-1.2e-11,-1.2e-11,-9.951901588997676e-07
0.0002856,9.750864740733452e-08,-0.09750767223212946,12.0,0.009750874482725092,0.0,-12.0,-0.09750864740733453,9.751752050729534e-07,-1.2e-11,-1.2e-11,-9.750776974077685e-07
0.0003056,9.395961353646993e-08,-0.09395867385483313,12.0,0.009395970741058203,0.0,-12.0,-0.09395961353646994,9.396816368079097e-07,-1.2e-11,-1.2e-11,-9.395876781444666e-07
0.0003256,8.892878043138276e-08,-0.08892789106265496,12.0,0.008892886927923971,0.0,-12.0,-0.08892878043138276,8.893687278022089e-07,-1.2e-11,-1.2e-11,-8.892797999143541e-07
0.0003456,8.249548733541425e-08,-0.08249466230547159,12.0,0.008249556975583227,0.0,-12.0,-0.08249548733541426,8.250299426693086e-07,-1.2e-11,-1.2e-11,-8.249474480095893e-07
0.0003656,7.476119112375083e-08,-0.07476044344380833,12.0,0.007476126581691071,0.0,-12.0,-0.07476119112375083,7.476799425004677e-07,-1.2e-11,-1.2e-11,-7.476051820499947e-07
0.0003856,6.584786626789504e-08,-0.06584720772931207,12.0,0.006584793205584101,0.0,-12.0,-0.06584786626789504,6.585385829704915e-07,-1.2e-11,-1.2e-11,-6.584727357717834e-07
0.0004056,5.589608122538588e-08,-0.05589552221370927,12.0,0.005589613707060275,0.0,-12.0,-0.055896081225385884,5.590116766152065e-07,-1.2e-11,-1.2e-11,-5.589557810979049e-07
0.0004256,4.5062781591252023e-08,-0.04506233092242984,12.0,0.004506282661302734,0.0,-12.0,-0.04506278159125202,4.50668822184197e-07,-1.2e-11,-1.2e-11,-4.506237598521143e-07
0.0004456,3.351881497222318e-08,-0.03351847975357198,12.0,0.0033518848460536666,0.0,-12.0,-0.03351881497222318,3.352186511984545e-07,-1.2e-11,-1.2e-11,-3.351851327238695e-07
0.0004656,2.1446236617912862e-08,-0.021446022136031022,12.0,0.0021446258044633816,0.0,-12.0,-0.021446236617912864,2.1448188184183814e-07,-1.2e-11,-1.2e-11,-2.144604358226764e-07
0.0004856,9.035438300777342e-09,-0.00903534793817226,12.0,0.0009035447327993566,0.0,-12.0,-0.009035438300777342,9.036260508257787e-08,-1.2e-11,-1.2e-11,-9.035356973610559e-08
0.0005055999999999999,-3.5178542758706505e-09,0.003517819094126712,12.0,-0.00035178577905237466,0.0,-12.0,0.0035178542758706505,-3.518174393870102e-08,-1.2e-11,-1.2e-11,3.517822611980988e-08
0.0005256,-1.6015668189123928e-08,0.016015508017868083,12.0,-0.0016015684190218164,0.0,-12.0,0.01601566818912393,-1.601712558453594e-07,-1.2e-11,-1.2e-11,1.6015524033536273e-07
0.0005456,-2.826090544773833e-08,0.02826062281296697,12.0,-0.0028260933682926893,0.0,-12.0,0.028260905447738332,-2.826347713612287e-07,-1.2e-11,-1.2e-11,2.826065107387242e-07
0.0005656000000000001,-4.0060451345195245e-08,0.040060050704227544,12.0,-0.004006049136919235,0.0,-12.0,0.040060451345195244,-4.006409677001499e-07,-1.2e-11,-1.2e-11,4.00600907646789e-07
0.0005856000000000001,-5.122821999398478e-08,0.05122770766516814,12.0,-0.005122827117558807,0.0,-12.0,0.05122821999398478,-5.12328816641705e-07,-1.2e-11,-1.2e-11,5.122775889338814e-07
0.0006056000000000002,-6.158808901121386e-08,0.06158747307427976,12.0,-0.006158815054325888,0.0,-12.0,0.061588089011213855,-6.159369340952292e-07,-1.2e-11,-1.2e-11,6.158753466236878e-07
0.0006256000000000002,-7.097667707379513e-08,0.07097596724243697,12.0,-0.007097674798588479,0.0,-12.0,0.07097667707379514,-7.098313581643811e-07,-1.2e-11,-1.2e-11,7.097603821911405e-07
0.0006456000000000003,-7.92459205395109e-08,0.07924512800819324,12.0,-0.007924599971331917,0.0,-12.0,0.07924592053951089,-7.925313176559978e-07,-1.2e-11,-1.2e-11,7.924520725411377e-07
0.0006656000000000003,-8.626540849910025e-08,0.08626454576651539,12.0,-0.008626549468600888,0.0,-12.0,0.08626540849910025,-8.627325848581391e-07,-1.2e-11,-1.2e-11,8.62646320319239e-07
0.0006856000000000004,-9.192443943420164e-08,0.09192352010615781,12.0,-0.00919245312749916,0.0,-12.0,0.09192443943420163,-9.193280438163365e-07,-1.2e-11,-1.2e-11,9.192361203059726e-07
