bundle_rel_path,bundle_timestamp,circuit_name,circuit_stem,analysis_type,success,duration_ms,metric_row_count,metric_values,artifact_file_count,manifest_error_count,warning_count,error_count,first_error,data_point_count,signal_count,timestamp,x_axis_kind,analysis_command,result_file_path,has_metrics
01_diode_clipper/2026-04-22_10-24-33_030093,2026-04-22_10-24-33_030093,01_diode_clipper.cir,01_diode_clipper,tran,True,8.511781692504883,2,"{""v_clip_pos"": 1.308586, ""v_clip_neg"": -1.308589}",10,0,0,0,,509,7,2026-04-22T10:24:33.030093,time,.tran 10u 5m,E:\Individual Project\circuit_design_ai\TestWork\by_device\diode\01_diode_clipper.cir,True
01_diode_clipper/2026-04-22_15-51-53_872364,2026-04-22_15-51-53_872364,01_diode_clipper.cir,01_diode_clipper,tran,True,4.007101058959961,2,"{""v_clip_pos"": 1.308586, ""v_clip_neg"": -1.308589}",10,0,0,0,,509,7,2026-04-22T15:51:53.872364,time,.tran 10u 5m,E:\Individual Project\circuit_design_ai\TestCircuit\by_device\diode\01_diode_clipper.cir,True
01_inverting_amplifier_subckt/2026-04-22_10-24-56_328460,2026-04-22_10-24-56_328460,01_inverting_amplifier_subckt.cir,01_inverting_amplifier_subckt,ac,True,8.006095886230469,1,"{""a_midband"": 19.9999}",10,0,0,0,,141,5,2026-04-22T10:24:56.328460,frequency,.ac dec 20 1 10Meg,E:\Individual Project\circuit_design_ai\TestWork\by_device\subcircuit\01_inverting_amplifier_subckt.cir,True
01_inverting_amplifier_subckt/2026-04-22_15-51-54_215163,2026-04-22_15-51-54_215163,01_inverting_amplifier_subckt.cir,01_inverting_amplifier_subckt,ac,True,2.4995803833007812,1,"{""a_midband"": 19.9999}",10,0,0,0,,141,5,2026-04-22T15:51:54.215163,frequency,.ac dec 20 1 10Meg,E:\Individual Project\circuit_design_ai\TestCircuit\by_device\subcircuit\01_inverting_amplifier_subckt.cir,True
01_lc_tank_oscillation/2026-04-22_10-24-37_659204,2026-04-22_10-24-37_659204,01_lc_tank_oscillation.cir,01_lc_tank_oscillation,tran,True,7.018804550170898,2,"{""v_peak"": 0.9999975, ""v_late"": 0.07360891}",10,0,0,0,,1011,3,2026-04-22T10:24:37.659204,time,.tran 5u 5m uic,E:\Individual Project\circuit_design_ai\TestWork\by_device\inductor\01_lc_tank_oscillation.cir,True
01_lc_tank_oscillation/2026-04-22_15-51-53_950529,2026-04-22_15-51-53_950529,01_lc_tank_oscillation.cir,01_lc_tank_oscillation,tran,True,4.00853157043457,2,"{""v_peak"": 0.9999975, ""v_late"": 0.07360891}",10,0,0,0,,1011,3,2026-04-22T15:51:53.950529,time,.tran 5u 5m uic,E:\Individual Project\circuit_design_ai\TestCircuit\by_device\inductor\01_lc_tank_oscillation.cir,True
01_lt1001_voltage_follower/2026-04-22_10-27-01_659510,2026-04-22_10-27-01_659510,01_lt1001_voltage_follower.cir,01_lt1001_voltage_follower,tran,True,8.037805557250977,0,{},10,0,0,0,,208,9,2026-04-22T10:27:01.659510,time,.tran 0.02m 4m,E:\Individual Project\circuit_design_ai\TestWork\opamp_circuits\01_lt1001_voltage_follower.cir,False
01_lt1001_voltage_follower/2026-04-22_15-51-56_060622,2026-04-22_15-51-56_060622,01_lt1001_voltage_follower.cir,01_lt1001_voltage_follower,tran,True,2.5081634521484375,0,{},10,0,0,0,,208,9,2026-04-22T15:51:56.060622,time,.tran 0.02m 4m,E:\Individual Project\circuit_design_ai\TestCircuit\opamp_circuits\01_lt1001_voltage_follower.cir,False
01_njf_cascode/2026-04-22_10-24-40_582038,2026-04-22_10-24-40_582038,01_njf_cascode.cir,01_njf_cascode,op,True,4.012107849121094,0,{},12,0,1,0,,0,7,2026-04-22T10:24:40.582038,none,.op,E:\Individual Project\circuit_design_ai\TestWork\by_device\jfet\01_njf_cascode.cir,False
01_njf_cascode/2026-04-22_15-51-53_988550,2026-04-22_15-51-53_988550,01_njf_cascode.cir,01_njf_cascode,op,True,1.4989376068115234,0,{},12,0,1,0,,0,7,2026-04-22T15:51:53.988550,none,.op,E:\Individual Project\circuit_design_ai\TestCircuit\by_device\jfet\01_njf_cascode.cir,False
01_nmos_low_side_switch/2026-04-22_10-24-43_854593,2026-04-22_10-24-43_854593,01_nmos_low_side_switch.cir,01_nmos_low_side_switch,tran,True,8.516311645507812,2,"{""v_ds_on"": 0.08661669, ""v_ds_max"": 372.3018}",10,0,0,0,,496,9,2026-04-22T10:24:43.854593,time,.tran 100n 30u,E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\01_nmos_low_side_switch.cir,True
01_nmos_low_side_switch/2026-04-22_15-51-54_017057,2026-04-22_15-51-54_017057,01_nmos_low_side_switch.cir,01_nmos_low_side_switch,tran,True,5.507946014404297,2,"{""v_ds_on"": 0.08661669, ""v_ds_max"": 372.3018}",10,0,0,0,,496,9,2026-04-22T15:51:54.017057,time,.tran 100n 30u,E:\Individual Project\circuit_design_ai\TestCircuit\by_device\mosfet\01_nmos_low_side_switch.cir,True
01_npn_ce_bias_point/2026-04-22_10-26-48_496639,2026-04-22_10-26-48_496639,01_npn_ce_bias_point.cir,01_npn_ce_bias_point,op,True,6.211042404174805,0,{},12,0,0,0,,0,5,2026-04-22T10:26:48.496639,none,.op,E:\Individual Project\circuit_design_ai\TestWork\op_analysis\01_npn_ce_bias_point.cir,False
01_npn_ce_bias_point/2026-04-22_15-51-55_905948,2026-04-22_15-51-55_905948,01_npn_ce_bias_point.cir,01_npn_ce_bias_point,op,True,1.4979839324951172,0,{},12,0,0,0,,0,5,2026-04-22T15:51:55.905948,none,.op,E:\Individual Project\circuit_design_ai\TestCircuit\op_analysis\01_npn_ce_bias_point.cir,False
01_npn_emitter_follower/2026-04-22_10-24-06_468067,2026-04-22_10-24-06_468067,01_npn_emitter_follower.cir,01_npn_emitter_follower,op,True,5.539894104003906,0,{},12,0,0,0,,0,4,2026-04-22T10:24:06.468067,none,.op,E:\Individual Project\circuit_design_ai\TestWork\by_device\bjt\01_npn_emitter_follower.cir,False
01_npn_emitter_follower/2026-04-22_15-51-53_703823,2026-04-22_15-51-53_703823,01_npn_emitter_follower.cir,01_npn_emitter_follower,op,True,2.506732940673828,0,{},12,0,0,0,,0,4,2026-04-22T15:51:53.703823,none,.op,E:\Individual Project\circuit_design_ai\TestCircuit\by_device\bjt\01_npn_emitter_follower.cir,False
01_rc_discharge/2026-04-22_10-24-15_018414,2026-04-22_10-24-15_018414,01_rc_discharge.cir,01_rc_discharge,tran,True,6.583690643310547,2,"{""v_final"": 0.05554303, ""t_tau"": 0.0100021}",10,0,0,0,,511,1,2026-04-22T10:24:15.018414,time,.tran 100u 50m uic,E:\Individual Project\circuit_design_ai\TestWork\by_device\capacitor\01_rc_discharge.cir,True
01_rc_discharge/2026-04-22_15-51-53_769951,2026-04-22_15-51-53_769951,01_rc_discharge.cir,01_rc_discharge,tran,True,3.009796142578125,2,"{""v_final"": 0.05554303, ""t_tau"": 0.0100021}",10,0,0,0,,511,1,2026-04-22T15:51:53.769951,time,.tran 100u 50m uic,E:\Individual Project\circuit_design_ai\TestCircuit\by_device\capacitor\01_rc_discharge.cir,True
01_rc_step_response/2026-04-22_10-27-19_752816,2026-04-22_10-27-19_752816,01_rc_step_response.cir,01_rc_step_response,tran,True,8.515596389770508,2,"{""v_final"": 4.999318, ""t_rise_90"": 0.00240306}",10,0,0,0,,1019,3,2026-04-22T10:27:19.752816,time,.tran 10u 10m,E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\01_rc_step_response.cir,True
01_rc_step_response/2026-04-22_15-51-56_299855,2026-04-22_15-51-56_299855,01_rc_step_response.cir,01_rc_step_response,tran,True,4.507303237915039,2,"{""v_final"": 4.999318, ""t_rise_90"": 0.00240306}",10,0,0,0,,1019,3,2026-04-22T15:51:56.299855,time,.tran 10u 10m,E:\Individual Project\circuit_design_ai\TestCircuit\transient_analysis\01_rc_step_response.cir,True
01_resistor_divider/2026-04-22_10-26-31_080203,2026-04-22_10-26-31_080203,01_resistor_divider.cir,01_resistor_divider,dc,True,6.023883819580078,0,{},10,0,0,0,,101,3,2026-04-22T10:26:31.080203,sweep,.dc Vin 0 10 0.1,E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\01_resistor_divider.cir,False
01_resistor_divider/2026-04-22_15-51-55_682760,2026-04-22_15-51-55_682760,01_resistor_divider.cir,01_resistor_divider,dc,True,2.0067691802978516,0,{},10,0,0,0,,101,3,2026-04-22T15:51:55.682760,sweep,.dc Vin 0 10 0.1,E:\Individual Project\circuit_design_ai\TestCircuit\dc_analysis\01_resistor_divider.cir,False
01_resistor_thermal_noise/2026-04-22_10-26-42_738430,2026-04-22_10-26-42_738430,01_resistor_thermal_noise.cir,01_resistor_thermal_noise,noise,True,7.129669189453125,0,{},10,0,0,0,,141,2,2026-04-22T10:26:42.738430,frequency,.noise V(out) Vin dec 20 1 10Meg,E:\Individual Project\circuit_design_ai\TestWork\noise_analysis\01_resistor_thermal_noise.cir,False
01_resistor_thermal_noise/2026-04-22_15-51-55_858305,2026-04-22_15-51-55_858305,01_resistor_thermal_noise.cir,01_resistor_thermal_noise,noise,True,1.499176025390625,0,{},10,0,0,0,,141,2,2026-04-22T15:51:55.858305,frequency,.noise V(out) Vin dec 20 1 10Meg,E:\Individual Project\circuit_design_ai\TestCircuit\noise_analysis\01_resistor_thermal_noise.cir,False
